Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A760532,Luna,10/19/2017 16:23,10/19/2017 16:23,2819 San Jacinto Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle
A760540,,10/19/2017 16:39,10/19/2017 16:39,St. Elmos Road And Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Maltese Mix,White
A760539,,10/19/2017 16:40,10/19/2017 16:40,6203 Woodhue Dr in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon,Gray
A660790,Clyde,10/19/2017 16:47,10/19/2017 16:47,6300 Emerald Forest in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Siberian Husky Mix,Silver/White
A760547,Smokey,10/19/2017 17:32,10/19/2017 17:32,Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A760542,,10/19/2017 17:33,10/19/2017 17:33,12601 Country Trails Ln in Travis (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black
A760546,,10/19/2017 17:55,10/19/2017 17:55,2327 Rockridge Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A760549,*Asher,10/19/2017 18:39,10/19/2017 18:39,14800 Eilers Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A760550,,10/19/2017 20:40,10/19/2017 20:40,Onion Creek Dr @ Thatch Lane in Austin (TX),Stray,Injured,Dog,Intact Female,3 months,German Shepherd Mix,Black/Tan
A760551,Rusty,10/20/2017 7:08,10/20/2017 7:08,2710 Citation Dr in Travis (TX),Stray,Injured,Dog,Intact Male,4 years,Pit Bull Mix,Brown/Apricot
A760552,Eddy,10/20/2017 7:34,10/20/2017 7:34,10Th & Red River in Austin (TX),Stray,Injured,Cat,Neutered Male,12 years,Domestic Medium Hair Mix,Orange Tabby
A678174,Scarlet Rose,10/20/2017 8:49,10/20/2017 8:49,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Pit Bull Mix,Red/White
A760557,*Nancy,10/20/2017 9:57,10/20/2017 9:57,3511 Rindle Way in Travis (TX),Stray,Normal,Dog,Intact Female,3 years,Australian Shepherd,Tan/White
A760558,,10/20/2017 10:55,10/20/2017 10:55,Mopac in Austin (TX),Public Assist,Injured,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White
A760560,*Bluebeard,10/20/2017 11:12,10/20/2017 11:12,Highway 71 And South Congress in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Blue/White
A760562,,10/20/2017 11:30,10/20/2017 11:30,Island Oaks in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Miniature Poodle Mix,White
A760564,,10/20/2017 11:36,10/20/2017 11:36,Lamar Boulevard And Koenig Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Gray
A760563,,10/20/2017 11:39,10/20/2017 11:39,724 Great Britain Blvd in Austin (TX),Stray,Sick,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby
A760565,Spock,10/20/2017 11:42,10/20/2017 11:42,12400 Mellow Meadow Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/Brown
A760566,*Lydia,10/20/2017 11:48,10/20/2017 11:48,4703 Palisade Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Tortie
A760567,*Bambi,10/20/2017 12:00,10/20/2017 12:00,Dessau Road And Eaton Brook Avenue in Pflugerville (TX),Stray,Normal,Dog,Intact Female,7 months,Labrador Retriever Mix,Brown
A712456,Blue,10/20/2017 12:06,10/20/2017 12:06,Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Doberman Pinsch Mix,Black/Tan
A760568,Serevino,10/20/2017 12:08,10/20/2017 12:08,Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/White
A749091,Buster,10/20/2017 12:14,10/20/2017 12:14,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A760569,Don Diego,10/20/2017 12:19,10/20/2017 12:19,8001 South Interstate Highway 35 in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A759430,*Whitney,10/20/2017 12:33,10/20/2017 12:33,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A760575,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby/White
A760573,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Black
A760571,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby
A760574,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Siamese Mix,Flame Point
A760570,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Orange Tabby
A760572,,10/20/2017 12:47,10/20/2017 12:47,Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black/White
A674237,Poncho,10/20/2017 12:48,10/20/2017 12:48,Manor Road And Wheless Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Labrador Retriever/German Shepherd,Black
A760577,Ghost,10/20/2017 13:01,10/20/2017 13:01,1602 Fish Ln in Travis (TX),Stray,Injured,Dog,Neutered Male,7 years,Rottweiler Mix,Black/Brown
A724773,Wheatley,10/20/2017 13:07,10/20/2017 13:07,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A760579,Tiger,10/20/2017 13:15,10/20/2017 13:15,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A760581,Kharson,10/20/2017 13:17,10/20/2017 13:17,13021 Dessau in Travis (TX),Stray,Normal,Dog,Intact Male,4 years,Cairn Terrier Mix,Brown/White
A760583,Layla,10/20/2017 13:22,10/20/2017 13:22,Austin (TX),Owner Surrender,Injured,Dog,Intact Female,10 months,Chihuahua Shorthair Mix,Tan
A760587,Joyce Byers,10/20/2017 14:07,10/20/2017 14:07,East Cesar Chavez And Mildred St in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Chihuahua Shorthair Mix,Black/Black
A760589,,10/20/2017 14:25,10/20/2017 14:25,105 E Pheasant Dr in Austin (TX),Stray,Injured,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Black/White
A760590,Emmie Loo,10/20/2017 14:30,10/20/2017 14:30,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Miniature Pinscher Mix,Black/Brown
A717983,Archive,10/20/2017 14:30,10/20/2017 14:30,5510 Burnet Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
A760592,Raphael,10/20/2017 14:35,10/20/2017 14:35,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,Cocker Spaniel Mix,Black/Black
A760507,*Hopper,10/20/2017 14:47,10/20/2017 14:47,Watchful Fox in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Pit Bull Mix,Brown Brindle/White
A760593,Matea,10/20/2017 15:11,10/20/2017 15:11,Chestnut Avenue And Rosewood Drive in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Miniature Schnauzer Mix,Gray
A760598,,10/20/2017 15:47,10/20/2017 15:47,9600 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,American Shorthair Mix,Black/Black
A760599,,10/20/2017 15:47,10/20/2017 15:47,9600 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,American Shorthair Mix,Black/Black
A760596,,10/20/2017 15:47,10/20/2017 15:47,9600 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,American Shorthair Mix,Black/Black
A760600,,10/20/2017 15:47,10/20/2017 15:47,9600 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,American Shorthair Mix,Black/Black
A760604,,10/20/2017 16:43,10/20/2017 16:43,North Lamar And Rundberg in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Catahoula Mix,White/Tan
A760605,,10/20/2017 17:35,10/20/2017 17:35,11Th And Chicon in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair Mix,Calico
A760608,Ghost,10/20/2017 18:30,10/20/2017 18:30,6502 Porter St in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,Alaskan Husky/Labrador Retriever,White/White
A760606,,10/20/2017 18:35,10/20/2017 18:35,13401 Legendary Drive in Austin (TX),Stray,Aged,Cat,Unknown,6 years,Domestic Medium Hair Mix,Blue/White
A760607,,10/20/2017 18:38,10/20/2017 18:38,2301 East Saint Elmo in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Red
A760609,,10/20/2017 21:32,10/20/2017 21:32,2205 Boca Raton in Austin (TX),Public Assist,Normal,Other,Unknown,1 year,Bat,Black
A645138,Woadie,10/21/2017 0:19,10/21/2017 0:19,3600 Harmon Ave in Austin (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Pit Bull/Chinese Sharpei,Brown/White
A760619,,10/21/2017 10:40,10/21/2017 10:40,600 Blue Valley Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Black
A760618,,10/21/2017 11:15,10/21/2017 11:15,Theodore Roosevelt in Manor (TX),Stray,Normal,Dog,Intact Female,6 months,Belgian Malinois Mix,Black Brindle/White
A760623,,10/21/2017 11:55,10/21/2017 11:55,Tawny Circle in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A760624,*Will,10/21/2017 12:29,10/21/2017 12:29,6801 Canal in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,German Shepherd Mix,Black/Brown
A760625,Calvin,10/21/2017 12:33,10/21/2017 12:33,5901 Belfast in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,American Shorthair Mix,Brown Tabby/Black
A760626,,10/21/2017 12:41,10/21/2017 12:41,6400 Brodies Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
A724311,Jack,10/21/2017 13:18,10/21/2017 13:18,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,13 years,Chihuahua Shorthair Mix,Black/White
A760627,Zeus,10/21/2017 13:27,10/21/2017 13:27,6415 Orange Blossom in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Gray/White
A639152,Sammy,10/21/2017 13:54,10/21/2017 13:54,1500 West William Cannon in Austin (TX),Public Assist,Normal,Dog,Neutered Male,9 years,Chihuahua Shorthair,Brown/White
A746463,Spots,10/21/2017 14:31,10/21/2017 14:31,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 months,Basset Hound Mix,White/Tan
A753728,Jasper,10/21/2017 14:34,10/21/2017 14:34,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
A760633,,10/21/2017 15:28,10/21/2017 15:28,3001 South 1St Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,American Shorthair Mix,White/Black
A760634,Lulu,10/21/2017 15:39,10/21/2017 15:39,5916 Hammer Mill Run in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Brown Brindle/Black
A760635,*Jordan,10/21/2017 15:59,10/21/2017 15:59,Barney Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A760636,*Keegan,10/21/2017 15:59,10/21/2017 15:59,Barney Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A757316,Mocha,10/21/2017 16:31,10/21/2017 16:31,Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Border Collie Mix,Black/White
A760637,,10/21/2017 16:40,10/21/2017 16:40,11223 Tom Sassman in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Miniature Schnauzer,Gray/White
A760638,Annie,10/21/2017 16:43,10/21/2017 16:43,Thaxton Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever Mix,Tan
A759768,*Molly,10/21/2017 16:49,10/21/2017 16:49,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Brown
A760639,,10/21/2017 16:53,10/21/2017 16:53,11707 Maha Loop Road in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,American Curl Shorthair Mix,Black/Black
A760640,,10/21/2017 17:15,10/21/2017 17:15,8404 Burrell in Austin (TX),Stray,Normal,Other,Unknown,1 year,Snake Mix,Gray/Brown
A760644,Katie,10/21/2017 17:44,10/21/2017 17:44,Brodie Lane And Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Tan/Tan
A760642,,10/21/2017 17:44,10/21/2017 17:44,Brodie Lane And Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Tan
A760646,,10/21/2017 18:22,10/21/2017 18:22,1070 Mearns Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,American Shorthair Mix,Black/White
A760648,*Pinkie,10/21/2017 18:34,10/21/2017 18:34,Martin Luther King And J.J. Seabrooke in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/White
A760649,,10/21/2017 21:56,10/21/2017 21:56,20012 Hall Brook Ln in Travis (TX),Wildlife,Sick,Other,Unknown,2 years,Bat Mix,Brown
A760650,,10/22/2017 0:38,10/22/2017 0:38,1102 S Congress in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A760651,*Bonnie,10/22/2017 9:12,10/22/2017 9:12,7601 Daffan Ln in Austin (TX),Stray,Injured,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A633994,Pumpkin,10/22/2017 10:37,10/22/2017 10:37,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,7 years,Golden Retriever Mix,Gold/Brown
A760658,Gray,10/22/2017 11:02,10/22/2017 11:02,2526 Durwood Street in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Gray/White
A760653,Lyle,10/22/2017 11:22,10/22/2017 11:22,10300 Golden Meadow in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A760655,*Constantine,10/22/2017 11:25,10/22/2017 11:25,2300 Lakehurst in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,American Shorthair Mix,Blue
A760654,Sister,10/22/2017 11:29,10/22/2017 11:29,1700 Teri Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Plott Hound Mix,Black/Brown
A760656,,10/22/2017 11:30,10/22/2017 11:30,1700 Teri Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Dachshund/Norfolk Terrier,Tan
A755274,Titan,10/22/2017 11:35,10/22/2017 11:35,5300 Indio Circle in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Basset Hound Mix,Brown/White
A760668,Blue,10/22/2017 11:47,10/22/2017 11:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Dogo Argentino Mix,White/Black
A760659,*Mindy,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A760665,,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A760663,,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
A760662,,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A760664,,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico
A760661,,10/22/2017 12:05,10/22/2017 12:05,11700 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A760660,Yeezy,10/22/2017 12:26,10/22/2017 12:26,6909 Derby Downs Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/Brown
A760666,Callie,10/22/2017 12:44,10/22/2017 12:44,19600 Abigail Way in Pflugerville (TX),Stray,Normal,Cat,Spayed Female,13 years,Domestic Medium Hair Mix,Calico
A760670,Murray,10/22/2017 13:13,10/22/2017 13:13,2506 West Parmer Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Anatol Shepherd/Labrador Retriever,Black/Brown
A760671,,10/22/2017 13:22,10/22/2017 13:22,5204 Ranch Road 2222 in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A760669,Champ,10/22/2017 13:24,10/22/2017 13:24,2506 West Parmer Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan
A414620,Shepherd,10/22/2017 13:30,10/22/2017 13:30,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,13 years,Border Collie Mix,White/Gray
A760672,Ginger,10/22/2017 13:30,10/22/2017 13:30,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Dachshund Mix,White/Gray
A760676,Bonnie,10/22/2017 13:44,10/22/2017 13:44,7201 Woodhollow Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black
A760675,Silas,10/22/2017 13:44,10/22/2017 13:44,7201 Woodhollow Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A760677,,10/22/2017 13:58,10/22/2017 13:58,Thomaswood Lane And Lenape Trail in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue/White
A760678,*Penelope,10/22/2017 14:08,10/22/2017 14:08,Holly Street And Navasota Street in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Orange Tabby
A760679,*Gary,10/22/2017 14:12,10/22/2017 14:12,Parkfield Drive And Colony Creek Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A686365,Hazel,10/22/2017 14:22,10/22/2017 14:22,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Carolina Dog,Tan
A748173,Cookie,10/22/2017 14:38,10/22/2017 14:38,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,White/Black
A760682,,10/22/2017 14:45,10/22/2017 14:45,Bluff Springs Road And Blue Meadow Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund Wirehair Mix,Black/White
A760681,,10/22/2017 14:45,10/22/2017 14:45,Bluff Springs Road And Blue Meadow Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund Wirehair/West Highland,White/Tan
A760683,,10/22/2017 15:02,10/22/2017 15:02,East William Cannon And Salt Springs in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Anatol Shepherd Mix,Tan/Tan
A760685,Kilo,10/22/2017 15:04,10/22/2017 15:04,8213 Spring Valley Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Boxer Mix,Brown
A760684,Kate,10/22/2017 15:04,10/22/2017 15:04,8213 Spring Valley Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Labrador Retriever Mix,Tan
A737179,*Skipper,10/22/2017 15:21,10/22/2017 15:21,Dallum Dr And Northcape Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Border Collie Mix,Black/White
A760686,,10/22/2017 15:21,10/22/2017 15:21,Dallum Dr And Northcape Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tan/Tan
A718802,Rex,10/22/2017 15:36,10/22/2017 15:36,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown/White
A760052,Cleo,10/22/2017 16:02,10/22/2017 16:02,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Longhair Mix,Cream Tabby
A760691,*Darby,10/22/2017 16:14,10/22/2017 16:14,1400 Brandt Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Great Pyrenees Mix,Cream
A760694,Pinky,10/22/2017 16:22,10/22/2017 16:22,West Anderson Lane And Gault St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A760693,Blue,10/22/2017 16:22,10/22/2017 16:22,West Anderson Lane And Gault St in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A760692,Charlie,10/22/2017 16:22,10/22/2017 16:22,West Anderson Lane And Gault St in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A760695,Willow,10/22/2017 16:22,10/22/2017 16:22,West Anderson Lane And Gault St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A743767,Chata,10/22/2017 16:31,10/22/2017 16:31,Wells Branch And Long Vista in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Tan/White
A760701,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Black
A760702,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
A760703,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Male,4 months,Siamese Mix,Lilac Point
A760699,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Medium Hair Mix,Gray
A760700,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair/Domestic Shorthair,Black
A760704,,10/22/2017 16:48,10/22/2017 16:48,7020 Grand Canyon Drive in Austin (TX),Stray,Normal,Cat,Intact Male,4 months,Siamese Mix,Lilac Point
A760696,,10/22/2017 17:01,10/22/2017 17:01,3402 Catalina in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Duck Mix,Black/White
A760697,Star,10/22/2017 17:03,10/22/2017 17:03,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black
A760698,Pebbles,10/22/2017 17:05,10/22/2017 17:05,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 years,Australian Cattle Dog,Black/Brown
A649745,Bobbafett,10/22/2017 17:19,10/22/2017 17:19,2108 Lear Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Jack Russell Terrier Mix,Tricolor
A649744,Berkley,10/22/2017 17:19,10/22/2017 17:19,2108 Lear Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Cavalier Span,Red
A760705,,10/22/2017 17:37,10/22/2017 17:37,San Simeon Dr And Manzanillo Dr in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Parakeet Mix,White/White
A760468,Frea,10/22/2017 17:46,10/22/2017 17:46,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull/Australian Cattle Dog,Red/White
A760706,Peanut Butte,10/22/2017 17:59,10/22/2017 17:59,8701 West Parmer Lane in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A760707,Catneff,10/22/2017 18:06,10/22/2017 18:06,1809 Collier in Austin (TX),Stray,Normal,Cat,Intact Female,8 years,American Shorthair Mix,Torbie/White
A251402,Amy,10/22/2017 18:41,10/22/2017 18:41,2905 French Place in Austin (TX),Stray,Normal,Dog,Spayed Female,18 years,Chihuahua Shorthair Mix,Tan
A760710,*Juno,10/22/2017 19:25,10/22/2017 19:25,8071 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Staffordshire Mix,Black
A760709,*Griff,10/22/2017 19:25,10/22/2017 19:25,8071 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Staffordshire Mix,Tan
A760711,Louie,10/22/2017 20:59,10/22/2017 20:59,8210 Bent Tree in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White
A760712,,10/22/2017 21:18,10/22/2017 21:18,13343 Research in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A760714,,10/22/2017 22:53,10/22/2017 22:53,1102 S Congress in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A760715,,10/22/2017 23:37,10/22/2017 23:37,2900 Manor in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A736982,Smokey,10/23/2017 7:39,10/23/2017 7:39,Suburban &Battlebend in Austin (TX),Stray,Injured,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
A760718,*Patches,10/23/2017 7:39,10/23/2017 7:39,Fm 812 Near Racetrack in Travis (TX),Stray,Injured,Dog,Intact Female,8 months,Pit Bull Mix,White/Black
A760724,,10/23/2017 8:56,10/23/2017 8:56,2701 E 7Th St in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Snowshoe Mix,Seal Point
A760728,Lazarus,10/23/2017 10:28,10/23/2017 10:28,Outside Jurisdiction,Stray,Injured,Cat,Unknown,6 months,Domestic Shorthair Mix,Blue
A760729,Sasha Jones,10/23/2017 10:45,10/23/2017 10:45,5908 Manor Rd in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Pit Bull Mix,Blue/White
A760730,*Taco,10/23/2017 10:46,10/23/2017 10:46,2900 Manor Rd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,White/Blue
A760652,Chunky,10/23/2017 11:09,10/23/2017 11:09,Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Labrador Retriever/German Shepherd,Tricolor
A760732,*Barney,10/23/2017 11:12,10/23/2017 11:12,5800 Angel And Cielo Grande in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Beagle Mix,White/Tan
A760733,Sweetie,10/23/2017 11:12,10/23/2017 11:12,Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Tan/White
A760734,,10/23/2017 11:18,10/23/2017 11:18,2001 Rosewood Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Chihuahua Longhair Mix,Black/Brown
A760737,*Gerald,10/23/2017 11:32,10/23/2017 11:32,520 Sacramento Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
