Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A758139,94,9/11/2017 17:56,9/11/2017 17:56,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Black/White
A758141,*Katy,9/11/2017 17:57,9/11/2017 17:57,3505 Cookstown Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie/Blue Tabby
A758140,Soxy,9/11/2017 17:59,9/11/2017 17:59,19900 Kennemer Dr in Travis (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Cavalier Span Mix,White/Brown
A758142,95,9/11/2017 18:08,9/11/2017 18:08,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,3 years,Pointer Mix,White/Black
A758143,202,9/11/2017 18:17,9/11/2017 18:17,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,10 years,Pit Bull Mix,Brown/White
A758144,201,9/11/2017 18:19,9/11/2017 18:19,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,7 years,Labrador Retriever/German Shepherd,Black/White
A753494,Beau,9/11/2017 18:22,9/11/2017 18:22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Chinese Sharpei Mix,Brown Brindle/White
A758146,,9/11/2017 22:20,9/11/2017 22:20,1201 Lady Bird in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A757857,Molly,9/12/2017 10:47,9/12/2017 10:47,3909 N Interstate 35 Service Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Shih Tzu Mix,White/Brown
A758162,*Coco,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,American Shorthair Mix,Black/Black
A758158,*Lily,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,American Shorthair Mix,Calico/White
A758157,*Rose,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,American Shorthair Mix,Tortie/White
A758160,*Daisy,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,American Shorthair Mix,Calico
