Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count
"Arboretum Boulevard,Austin,TX",30.3920911,-97.7517767,False,Cat,3
"400 Las Lomas Drive,West Lake Hills,TX",30.2795067,-97.795356,False,Other,4
"Berkman Drive And Briarcliff Drive,Austin,TX",30.3141156,-97.6925373,False,Dog,2
"511 East 46Th Street,Austin,TX",30.3080979,-97.72260179999999,False,Cat,7
"West Anderson Lane And Georgian Drive,Austin,TX",30.3440085,-97.7050058,False,Dog,3
"8027 Birmingham Drive,Austin,TX",30.1821872,-97.8026184,False,Dog,3
"1617 North Interstate 35 Frontage Road,Austin,TX",30.2771774,-97.72924019999999,False,Dog,2
"7109 South Brook Dr,Austin,TX",30.23486359999999,-97.88310059999999,True,Cat,3
"1209 East 52Nd Street,Austin,TX",30.3088003,-97.70714489999999,False,Cat,5
"Stassney And South 1St,Austin,TX",30.2084327,-97.7815497,False,Dog,5
"10560 Bilbrook Place,Austin,TX",30.15861199999999,-97.812067,False,Cat,0
"600 Barwood Park,Austin,TX",30.3493598,-97.6964283,False,Cat,2
"422 Guadalupe St,Austin,TX",30.2679131,-97.74727229999999,False,Bird,9
"12336 N Mopac Blvd,Austin,TX",30.4173637,-97.7063522,False,Cat,17
"14925 Swiss Dr,Austin,TX",30.130467,-97.6112093,True,Dog,0
"5701 Mopac Expressway,Austin,TX",30.22740829999999,-97.8277682,False,Cat,9
"12118 Walnut Park Crossing,Austin,TX",30.3935615,-97.6769525,False,Dog,1
"5804 Jacqueline,Travis,TX",30.2562973,-97.5742669,False,Cat,0
"2100 Citation Drive,Del Valle,TX",30.2166362,-97.51927769999999,False,Cat,0
"10507 Little Pebble Dr Unit A,Austin,TX",30.3832462,-97.709903,False,Dog,1
"15708 Opal Fire Dr,Austin,TX",30.4622385,-97.684153,False,Cat,0
"7112 Derby Downs Drive,Austin,TX",30.1491911,-97.7384646,False,Dog,0
"Airport Blvd & Springdale Rd,Austin,TX",30.673568,-88.250519,False,Dog,2
"815 Christopher Street,Austin,TX",30.2551552,-97.7559658,False,Cat,4
"4403 Scottsdale Rd,Austin,TX",30.2853029,-97.67893959999999,False,Dog,0
"5701 Johnny Morris Rd,Austin,TX",30.2919175,-97.65322189999999,False,Dog,0
"Mckinney Falls And William Cannon,Austin,TX",30.1632324,-97.72589339999999,False,Cat,0
"10507 Mcmillian Drive,Austin,TX",30.3707649,-97.6835636,False,Dog,1
"8906 Briardale Drive,Austin,TX",30.3653127,-97.7146623,False,Cat,3
"11700 Metric Boulevard,Austin,TX",30.3963168,-97.7068349,False,Cat,0
"933 Coronation Way,Pflugerville,TX",30.4274549,-97.63947759999999,False,Cat,0
"6214 Cameron Road,Austin,TX",30.3204456,-97.6969877,False,Cat,2
"2305 Island Wood Road,Austin,TX",30.3390174,-97.84669269999999,False,Cat,0
"14520 Thunderhead Road,Austin,TX",30.37317389999999,-97.9305732,False,Cat,1
