Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"1307 Fort Branch Blvd,Austin,TX",30.276999,-97.67995189999999,True,Dog,0.0,68.0
"9314 N Lamar Blvd,Austin,TX",30.3629561,-97.69823009999999,True,Cat,2.0,92.0
"6606 Scrub Oak Ln #B,Austin,TX",30.4276272,-97.76114609999999,True,Dog,14.0,24.0
"2206 Delcrest Dr,Austin,TX",30.2457276,-97.7747933,True,Cat,25.0,41.0
"5707 Blythewood,Austin,TX",30.2058384,-97.78154149999999,True,Dog,11.0,67.0
"8210 Bent Tree Rd,Austin,TX",30.369821,-97.74497500000001,True,Cat,15.0,29.0
"Linden Rd,Travis,TX",30.1348773,-97.58774869999999,True,Cat,0.0,7.0
"Maxwell Ln,Austin,TX",30.2203232,-97.6996468,True,Dog,0.0,59.0
"5105 Par Cove,Austin,TX",30.1958468,-97.7436179,True,Dog,1.0,81.0
"7604 Bellflower,Austin,TX",30.4190681,-97.7770444,True,Cat,7.0,11.0
"5100 Brookdale Ln,Austin,TX",30.3023337,-97.6897815,True,Dog,5.0,58.0
"2204 Leah Cove,Austin,TX",30.1773231,-97.82653739999999,True,Dog,5.0,39.0
"Manchaca Rd And W Slaughter Ln,Austin,TX",30.1737524,-97.82378589999999,True,Cat,6.0,40.0
"1004 Ellingson,Austin,TX",30.303533,-97.7187938,True,Cat,14.0,37.0
"108 W Garret Run,Austin,TX",30.3679289,-97.6889616,True,Dog,1.0,69.0
"106 Cloud View,Austin,TX",30.18961059999999,-97.7810512,True,Dog,1.0,69.0
"9900 Mcneil Dr,Austin,TX",30.3950161,-97.83331609999999,True,Dog,1.0,2.0
"540 W Parmer Lane,Austin,TX",30.4079603,-97.6786152,True,Other,18.0,25.0
"13689 Reseach Blvd,Austin,TX",30.4569358,-97.7903188,True,Cat,11.0,34.0
"8220 W Sh 71,Austin,TX",30.2475893,-97.8863308,True,Dog,5.0,17.0
"3800 Holt Drive,Austin,TX",30.2095622,-97.8384902,True,Dog,11.0,25.0
"1515 Wickersham Lane,Austin,TX",30.2349921,-97.7182435,True,Dog,3.0,102.0
"3702 Rock Terrace,Lago Vista,TX",30.43723099999999,-98.009057,True,Cat,0.0,1.0
"3001 S Congress,Austin,TX",30.231722,-97.7579406,True,Dog,19.0,56.0
"3001 S Congress Ave,Austin,TX",30.231722,-97.7579406,True,Dog,19.0,56.0
"701 Wales Way,Austin,TX",30.1799376,-97.7989051,True,Cat,6.0,35.0
"4705 Little Hill,Austin,TX",30.2820221,-97.6618137,True,Dog,0.0,29.0
"11205 Toledo Dr,Austin,TX",30.407352,-97.7410941,True,Dog,19.0,24.0
"7908 Brown Cemetery Road,Travis,TX",30.2683589,-97.5092531,True,Cat,0.0,2.0
"9301 Old Bee Caves Rd #131,Austin,TX",30.25983949999999,-97.9016943,True,Dog,2.0,4.0
"1704 Nelms Dr # 2211,Austin,TX",30.1945143,-97.7645016,True,Dog,6.0,83.0
"504 W 33Rd St,Austin,TX",30.299791,-97.73949730000001,True,Dog,19.0,29.0
"1016 Stassney,Austin,TX",30.2106636,-97.78637549999999,True,Dog,40.0,69.0
"5904 Broken Spoke Trl,Austin,TX",30.1931426,-97.7584236,True,Dog,3.0,97.0
"6902 Wentworth Dr,Austin,TX",30.2953808,-97.629915,True,Cat,0.0,34.0
"11900 Hobby Horse Ctr,Austin,TX",30.405581,-97.71387999999999,True,Dog,17.0,30.0
"1227 Armadillo Rd,Austin,TX",30.2018443,-97.7963644,True,Dog,4.0,66.0
"9505 Aberdeen,Austin,TX",30.3539219,-97.6776972,True,Dog,4.0,43.0
"2709 E 13Th Street,Austin,TX",30.27597369999999,-97.71141709999999,True,Dog,2.0,72.0
"10801 Manchaca Rd,Austin,TX",30.1620809,-97.83097819999999,True,Dog,8.0,37.0
"12148 Jollyville Rd,Austin,TX",30.4290467,-97.76436050000001,True,Dog,14.0,34.0
"3506 Steck Ave,Austin,TX",30.3684971,-97.7431244,True,Cat,15.0,31.0
"301 Brazos,Austin,TX",30.2651009,-97.7422035,True,Cat,9.0,75.0
"133327 Black Canyon Dr,Austin,TX",30.453278,-97.754717,True,Cat,3.0,13.0
"5615 Jfk Rd,Travis,TX",30.254201,-97.57375900000001,True,Dog,0.0,22.0
"5717 Jfk Rd,Travis,TX",30.2550744,-97.57318769999999,True,Dog,0.0,21.0
"10618 D K Ranch Rd,Austin,TX",30.4205472,-97.78177889999999,True,Dog,3.0,15.0
"5230 Thunder Creek,Austin,TX",30.41668,-97.744142,True,Cat,18.0,31.0
